Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,drafted,year,drafted_team,drafted_pick,drafted_year,cfb_link,cav_url,cfb_school,cfb_Conf,cfb_G,cfb_Completions,cfb_Attempts,cfb_CompPct,cfb_PassingYds,cfb_YdsPerAtt,cfb_AdjPassPerAtt,cfb_Tds,cfb_Int,cfb_rating,nfl_cav
Tom Brady,QB,Michigan,College Stats,6-4,211,5.28,24.5,,99,7.20,4.38,"New England Patriots,6th,199th pick,2000",2000,New England Patriots,199,2000,https://www.sports-reference.com/cfb/players/tom-brady-1.html,/players/B/BradTo00.htm,Michigan,NA,29,395,638,61.9,4773,7.5,7.2,30,17,134.9,181
Travis Brown,QB,Northern Arizona,,6-3,218,5.01,29.0,,101,7.54,4.87,",,,",2000,,,,NA,/players/B/BrowTr01.htm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Marc Bulger,QB,West Virginia,College Stats,6-2,208,4.97,,,100,7.46,4.34,"New Orleans Saints,6th,168th pick,2000",2000,New Orleans Saints,168,2000,https://www.sports-reference.com/cfb/players/marc-bulger-1.html,/players/B/BulgMa00.htm,West Virginia,NA,38,630,1023,61.6,8153,8.0,7.6,59,34,140.9,58
Bill Burke,QB,Michigan State,,6-4,206,5.03,28.5,,107,7.46,4.42,",,,",2000,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Giovanni Carmazzi,QB,Hofstra,,6-3,224,4.74,36.5,,119,6.94,4.23,"San Francisco 49ers,3rd,65th pick,2000",2000,San Francisco 49ers,65,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Chaloupka,QB,SMU,,6-2,216,4.96,,,,,,",,,",2000,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kevin Feterik,QB,BYU,,5-11,207,4.92,31.0,,106,7.30,4.45,",,,",2000,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joe Hamilton,QB,Georgia Tech,College Stats,5-10,192,4.81,,,106,,,"Tampa Bay Buccaneers,7th,234th pick,2000",2000,Tampa Bay Buccaneers,234,2000,https://www.sports-reference.com/cfb/players/joe-hamilton-1.html,/players/H/HamiJo20.htm,Georgia Tech,NA,43,629,1020,61.7,8882,8.7,8.3,65,39,148.2,0
Todd Husak,QB,Stanford,College Stats,6-3,216,5.20,27.5,,99,7.17,4.41,"Washington Redskins,6th,202nd pick,2000",2000,Washington Redskins,202,2000,https://www.sports-reference.com/cfb/players/todd-husak-1.html,/players/H/HusaTo20.htm,Stanford,NA,36,465,872,53.3,6564,7.5,7.2,41,24,126.6,0
Jarious Jackson,QB,Notre Dame,College Stats,6-0,226,4.68,,,109,,,"Denver Broncos,7th,214th pick,2000",2000,Denver Broncos,214,2000,https://www.sports-reference.com/cfb/players/jarious-jackson-1.html,/players/J/JackJa01.htm,Notre Dame,NA,36,306,536,57.1,4820,9.0,8.5,34,21,145.7,0
